age,dateOfBirth,labels
65,4/1/1961,[Person]
62,1963-08-06,[Person]
54,7/30/1971,[Person]
28,1998-03-06,[Person]
38,3/8/1988,[Person]
65,1961-01-08,[Person]
59,1966-10-01,[Person]
49,7/23/1976,[Person]
39,1987-01-25,[Person]
48,3/13/1978,[Person]
39,1987-01-22,[Person]
64,1961-11-29,[Person]
34,11/28/1991,[Person]
null,10.09.1986,[Person]
33,1992-11-26,[Person]
52,3/26/1974,[Person]
0,2026-03-17,[Person]
43,1983-01-09,[Person]
48,1/18/1978,[Person]
41,17/09/1984,[Person]
49,05/03/1977,[Person]
41,30/06/1984,[Person]
41,18/03/1985,[Person]
34,4/9/1992,[Person]
39,03/03/1987,[Person]
50,08/04/1975,[Person]
42,07/10/1983,[Person]
45,09/02/1980,[Person]
34,4/18/1992,[Person]
40,10/15/1985,[Person]
