conversation_id,participant_id,comment_id,comment_text,is_seed,comment_created_at,vote,reaction_created_at,participant_cluster
conversation-01,p001,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p002,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p003,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p004,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p005,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p006,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p007,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p008,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Welfare
conversation-01,p009,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,pass,2026-03-12T11:00:00Z,Welfare
conversation-01,p010,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,pass,2026-03-12T11:00:00Z,Welfare
conversation-01,p011,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Safety
conversation-01,p012,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Safety
conversation-01,p013,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Safety
conversation-01,p014,s01,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-12T11:00:00Z,Safety
