pet_type,name,gender,age,neutered,breed,color,chip_number,address
dog,Max,Male,4,Yes,Siberian Husky,Gray,981000000001,"Abashidze St 27, Tbilisi, Georgia"
dog,Bruno,Male,7,Yes,Golden Retriever,Tricolor,981000000002,"Rustaveli Ave 12, Tbilisi, Georgia"
dog,Toby,Male,10,Yes,Border Collie,Apricot,981000000003,"Vake Park Area 19, Tbilisi, Georgia"
dog,Bruno,Male,8,No,Australian Shepherd,Gray,981000000004,"Rustaveli Ave 12, Tbilisi, Georgia"
dog,Jasper,Male,3,Yes,Cocker Spaniel,Gray/White,981000000005,"Guramishvili Ave 107, Tbilisi, Georgia"
dog,Buddy,Male,6,No,Bulldog,White,981000000006,"Guramishvili Ave 27, Tbilisi, Georgia"
dog,Luna,Female,2,No,Corgi,Buff,981000000007,"Chavchavadze Ave 40, Tbilisi, Georgia"
dog,Nova,Female,4,Yes,Great Dane,Tricolor,981000000008,"Vake Park Area 7, Tbilisi, Georgia"
dog,Finn,Male,14,Yes,Golden Retriever,Gray,981000000009,"Chavchavadze Ave 35, Tbilisi, Georgia"
dog,Ellie,Female,6,No,Great Dane,Chocolate,981000000010,"Kazbegi Ave 24, Tbilisi, Georgia"
dog,Lucy,Female,9,Yes,Jack Russell Terrier,Chocolate,981000000011,"Freedom Square 54, Tbilisi, Georgia"
dog,Penny,Female,4,No,Siberian Husky,Buff,981000000012,"Vake Park Area 7, Tbilisi, Georgia"
dog,Charlie,Male,5,Yes,Cocker Spaniel,Red/White,981000000013,"Kazbegi Ave 24, Tbilisi, Georgia"
dog,Bailey,Female,11,No,Shih Tzu,Red/White,981000000014,"Marjanishvili St 43, Tbilisi, Georgia"
dog,Sadie,Female,9,No,Border Collie,Buff,981000000015,"Abashidze St 27, Tbilisi, Georgia"
dog,Chloe,Female,4,Yes,Bulldog,Fawn,981000000016,"Chavchavadze Ave 77, Tbilisi, Georgia"
dog,Lucy,Female,3,Yes,German Shepherd,White,981000000017,"Marjanishvili St 21, Tbilisi, Georgia"
dog,Nova,Female,7,No,Golden Retriever,Red/White,981000000018,"Chavchavadze Ave 77, Tbilisi, Georgia"
dog,Harper,Female,11,No,Labrador Retriever,White,981000000019,"Rustaveli Ave 44, Tbilisi, Georgia"
dog,Daisy,Female,3,No,Dachshund,Blue Merle,981000000020,"Rustaveli Ave 12, Tbilisi, Georgia"
dog,Skye,Female,2,No,Boxer,Apricot,981000000021,"Rustaveli Ave 44, Tbilisi, Georgia"
dog,Cooper,Male,9,Yes,Great Dane,Chocolate,981000000022,"Guramishvili Ave 27, Tbilisi, Georgia"
dog,Layla,Female,6,No,Labrador Retriever,White,981000000023,"Guramishvili Ave 71, Tbilisi, Georgia"
dog,Duke,Male,2,No,Doberman,Golden,981000000024,"Chavchavadze Ave 40, Tbilisi, Georgia"
dog,Cooper,Male,3,No,Shih Tzu,Buff,981000000025,"Chavchavadze Ave 77, Tbilisi, Georgia"
dog,Bailey,Female,12,No,Pug,Black/Tan,981000000026,"Chavchavadze Ave 35, Tbilisi, Georgia"
dog,Ellie,Female,2,Yes,Basset Hound,Red Merle,981000000027,"Guramishvili Ave 71, Tbilisi, Georgia"
dog,Milo,Male,9,Yes,Labrador Retriever,Tricolor,981000000028,"Guramishvili Ave 18, Tbilisi, Georgia"
dog,Max,Male,4,Yes,Golden Retriever,Brown,981000000029,"Vake Park Area 7, Tbilisi, Georgia"
dog,Lucy,Female,5,No,Basset Hound,Gray,981000000030,"Kazbegi Ave 24, Tbilisi, Georgia"
dog,Diesel,Male,4,No,Doberman,Brown/White,981000000031,"Guramishvili Ave 75, Tbilisi, Georgia"
dog,Rocky,Male,6,No,Beagle,Blue Merle,981000000032,"Guramishvili Ave 75, Tbilisi, Georgia"
dog,Luna,Female,7,No,Beagle,Brown,981000000033,"Guramishvili Ave 95, Tbilisi, Georgia"
dog,Toby,Male,8,Yes,Rottweiler,Buff,981000000034,"Guramishvili Ave 75, Tbilisi, Georgia"
dog,Zeus,Male,14,Yes,Corgi,Gray,981000000035,"Freedom Square 102, Tbilisi, Georgia"
dog,Charlie,Male,2,Yes,Pug,Black,981000000036,"Freedom Square 54, Tbilisi, Georgia"
dog,Layla,Female,14,No,Shih Tzu,Black/Tan,981000000037,"Vake Park Area 7, Tbilisi, Georgia"
dog,Leo,Male,5,No,Labrador Retriever,Red/White,981000000038,"Guramishvili Ave 23, Tbilisi, Georgia"
dog,Harper,Female,4,No,Shih Tzu,Yellow,981000000039,"Kazbegi Ave 24, Tbilisi, Georgia"
dog,Diesel,Male,12,No,Pug,Brown,981000000040,"Vake Park Area 7, Tbilisi, Georgia"
dog,Diesel,Male,14,Yes,Shih Tzu,Apricot,981000000041,"Vake Park Area 7, Tbilisi, Georgia"
dog,Bear,Male,2,Yes,Golden Retriever,White/Brown,981000000042,"Chavchavadze Ave 35, Tbilisi, Georgia"
dog,Diesel,Male,10,Yes,Border Collie,Tricolor,981000000043,"Guramishvili Ave 27, Tbilisi, Georgia"
dog,Jasper,Male,9,No,Doberman,Tricolor,981000000044,"Guramishvili Ave 53, Tbilisi, Georgia"
dog,Milo,Male,7,Yes,Border Collie,Gray/White,981000000045,"Marjanishvili St 21, Tbilisi, Georgia"
dog,Ellie,Female,1,No,Cocker Spaniel,Golden,981000000046,"Guramishvili Ave 27, Tbilisi, Georgia"
dog,Buddy,Male,9,No,Pug,Black/Tan,981000000047,"Marjanishvili St 43, Tbilisi, Georgia"
dog,Lucy,Female,5,Yes,Border Collie,Fawn,981000000048,"Freedom Square 102, Tbilisi, Georgia"
dog,Nova,Female,11,No,Basset Hound,Black,981000000049,"Marjanishvili St 21, Tbilisi, Georgia"
dog,Cooper,Male,2,Yes,Siberian Husky,White,981000000050,"Guramishvili Ave 53, Tbilisi, Georgia"
cat,Bambi,Female,7,No,Bengal,Blue Point,981000000051,"Chavchavadze Ave 77, Tbilisi, Georgia"
